Ear 	Freq 	dB SPL 	Repeat 	Choice 	Latency 	

1	250	0	0	2	2.135	
1	250	5	0	2	1.06	
1	250	10	0	1	1.637	
1	250	0	1	2	1.583	
1	250	5	1	2	1.011	
1	250	10	1	2	1.891	
1	250	15	1	2	1.429	
1	250	20	1	1	0.7762	
1	250	5	2	2	3.023	
1	250	10	2	2	2.263	
1	250	15	2	1	0.7797	
1	500	0	0	2	2.432	
1	500	5	0	2	1.13	
1	500	10	0	1	0.7465	
1	500	0	1	2	1.031	
1	500	5	1	1	0.8086	
1	500	0	2	2	1.212	
1	500	5	2	2	1.025	
1	500	10	2	1	0.725	
1	1000	0	0	1	0.8865	
1	1000	0	1	1	0.634	
1	1000	0	2	1	0.6589	
1	2000	0	0	1	0.6076	
1	2000	0	1	1	0.6142	
1	2000	0	2	1	0.6162	
1	4000	0	0	1	0.6178	
1	4000	0	1	1	0.8805	
1	4000	0	2	1	0.8939	
1	6000	0	0	1	1.099	
1	6000	0	1	2	2.439	
1	6000	5	1	1	0.7465	
1	6000	0	2	1	0.7084	
1	8000	0	0	2	1.412	
1	8000	5	0	2	0.9642	
1	8000	10	0	1	0.6444	
1	8000	0	1	2	2.725	
1	8000	5	1	2	2.615	
1	8000	10	1	1	0.7423	
1	8000	0	2	2	1.023	
1	8000	5	2	2	1.365	
1	8000	10	2	1	0.6798	
2	250	0	0	2	1.857	
2	250	5	0	2	0.924	
2	250	10	0	2	0.9434	
2	250	15	0	2	0.8748	
2	250	20	0	2	0.9225	
2	250	25	0	2	0.9115	
2	250	30	0	2	1.434	
2	250	35	0	2	1.001	
2	250	40	0	2	0.8066	
2	250	45	0	2	1.071	
2	250	50	0	1	0.7592	
2	250	35	1	2	1.322	
2	250	40	1	2	1.033	
2	250	45	1	2	1.062	
2	250	50	1	1	0.7951	
2	250	35	2	2	1.118	
2	250	40	2	2	1.019	
2	250	45	2	2	0.9195	
2	250	50	2	2	1.009	
2	250	55	2	1	0.8343	
2	500	0	0	2	1.212	
2	500	5	0	2	0.9701	
2	500	10	0	2	0.9963	
2	500	15	0	2	0.9073	
2	500	20	0	2	0.9411	
2	500	25	0	2	0.9347	
2	500	30	0	2	0.8661	
2	500	35	0	2	1.038	
2	500	40	0	2	0.732	
2	500	45	0	2	0.9202	
2	500	50	0	1	0.9988	
2	500	35	1	2	1.172	
2	500	40	1	2	1.423	
2	500	45	1	2	1.494	
2	500	50	1	2	0.871	
2	500	55	1	1	0.6751	
2	500	40	2	2	0.9701	
2	500	45	2	1	0.9179	
2	1000	0	0	2	2.219	
2	1000	5	0	2	1.351	
2	1000	10	0	2	0.8136	
2	1000	15	0	2	0.6963	
2	1000	20	0	2	0.8688	
2	1000	25	0	2	0.756	
2	1000	30	0	2	0.992	
2	1000	35	0	1	1.223	
2	1000	20	1	2	1.189	
2	1000	25	1	2	1.229	
2	1000	30	1	2	0.9231	
2	1000	35	1	1	2.159	
2	1000	20	2	2	1.217	
2	1000	25	2	2	1.901	
2	1000	30	2	1	0.8701	
2	2000	0	0	2	0.8347	
2	2000	5	0	2	0.9307	
2	2000	10	0	2	1.005	
2	2000	15	0	1	0.7699	
2	2000	0	1	2	1.514	
2	2000	5	1	2	1.487	
2	2000	10	1	2	0.9367	
2	2000	15	1	2	0.8192	
2	2000	20	1	1	0.5948	
2	2000	5	2	2	1.23	
2	2000	10	2	2	0.8664	
2	2000	15	2	2	0.918	
2	2000	20	2	1	0.6315	
2	4000	0	0	2	0.9096	
2	4000	5	0	2	0.89	
2	4000	10	0	2	1.064	
2	4000	15	0	1	0.9052	
2	4000	0	1	2	1.137	
2	4000	5	1	2	0.9601	
2	4000	10	1	1	0.5213	
2	4000	0	2	2	1.418	
2	4000	5	2	2	0.7731	
2	4000	10	2	1	0.6053	
2	6000	0	0	2	1.736	
2	6000	5	0	1	0.5672	
2	6000	0	1	2	1.149	
2	6000	5	1	1	0.6473	
2	6000	0	2	2	0.8075	
2	6000	5	2	1	0.5772	
2	8000	0	0	1	1.137	
2	8000	0	1	2	1.061	
2	8000	5	1	2	0.9472	
2	8000	10	1	1	0.959	
2	8000	0	2	2	0.8452	
2	8000	5	2	1	0.5889	
