Ear 	Freq 	dB SPL 	Repeat 	Choice 	Latency 	

1	250	0	0	2	1.292	
1	250	5	0	2	0.8916	
1	250	10	0	2	0.6697	
1	250	15	0	2	0.6591	
1	250	20	0	2	0.7383	
1	250	25	0	2	0.7664	
1	250	30	0	2	3.798	
1	250	35	0	1	0.6474	
1	250	20	1	2	1.174	
1	250	25	1	1	0.8581	
1	500	0	0	2	3.138	
1	500	5	0	2	0.8117	
1	500	10	0	2	0.897	
1	500	15	0	2	0.94	
1	500	20	0	2	0.7164	
1	500	25	0	1	0.7902	
1	500	10	1	2	1.283	
1	500	15	1	2	1.173	
1	500	20	1	2	1.322	
1	500	25	1	1	0.6301	
1	1000	0	0	2	0.7851	
1	1000	5	0	2	1.07	
1	1000	10	0	2	1.263	
1	1000	15	0	2	1.034	
1	1000	20	0	1	0.885	
1	1000	5	1	2	0.7702	
1	1000	10	1	2	1.38	
1	1000	15	1	2	0.6357	
1	1000	20	1	1	0.4616	
1	2000	0	0	2	0.8286	
1	2000	5	0	2	0.745	
1	2000	10	0	2	1.024	
1	2000	15	0	2	0.8191	
1	2000	20	0	1	0.5971	
1	2000	5	1	2	1.042	
1	2000	10	1	1	1.45	
1	4000	0	0	2	0.9097	
1	4000	5	0	2	1.055	
1	4000	10	0	1	0.9511	
1	4000	0	1	2	1.208	
1	4000	5	1	2	1.565	
1	4000	10	1	2	1.04	
1	4000	15	1	2	0.4253	
1	4000	20	1	1	0.7224	
1	6000	0	0	2	0.7445	
1	6000	5	0	2	0.8123	
1	6000	10	0	1	0.6285	
1	6000	0	1	1	1.277	
1	8000	0	0	2	0.7377	
1	8000	5	0	2	0.6372	
1	8000	10	0	1	1.168	
1	8000	0	1	2	0.6831	
1	8000	5	1	2	0.6701	
1	8000	10	1	2	0.9947	
1	8000	15	1	2	0.7593	
1	8000	20	1	2	0.6992	
1	8000	25	1	2	1.026	
1	8000	30	1	1	0.5922	
2	250	0	0	2	2.571	
2	250	5	0	2	0.6943	
2	250	10	0	2	0.6288	
2	250	15	0	2	0.6368	
2	250	20	0	2	0.5504	
2	250	25	0	2	0.6616	
2	250	30	0	2	0.9672	
2	250	35	0	2	0.7204	
2	250	40	0	2	0.6544	
2	250	45	0	1	0.5998	
2	250	30	1	2	1.341	
2	250	35	1	1	0.639	
2	500	0	0	2	1.578	
2	500	5	0	2	0.7218	
2	500	10	0	2	0.3968	
2	500	15	0	2	0.6366	
2	500	20	0	2	0.6299	
2	500	25	0	2	0.6638	
2	500	30	0	1	0.6632	
2	500	15	1	2	0.6089	
2	500	20	1	2	0.7733	
2	500	25	1	2	0.6355	
2	500	30	1	1	0.7104	
2	1000	0	0	2	0.8525	
2	1000	5	0	2	0.7674	
2	1000	10	0	2	0.6454	
2	1000	15	0	2	0.6983	
2	1000	20	0	2	0.6874	
2	1000	25	0	1	0.8103	
2	1000	10	1	2	0.8073	
2	1000	15	1	2	0.7497	
2	1000	20	1	2	0.6667	
2	1000	25	1	1	0.7309	
2	2000	0	0	2	0.7607	
2	2000	5	0	2	1.561	
2	2000	10	0	2	0.8768	
2	2000	15	0	1	0.7575	
2	2000	0	1	2	0.6282	
2	2000	5	1	2	0.7365	
2	2000	10	1	2	0.8011	
2	2000	15	1	1	0.5962	
2	4000	0	0	2	0.9227	
2	4000	5	0	2	0.6003	
2	4000	10	0	1	2.152	
2	4000	0	1	2	1.256	
2	4000	5	1	2	0.7255	
2	4000	10	1	2	0.6675	
2	4000	15	1	1	0.6358	
2	6000	0	0	2	2.508	
2	6000	5	0	1	1.011	
2	6000	0	1	2	0.6501	
2	6000	5	1	2	0.5703	
2	6000	10	1	1	0.6589	
2	8000	0	0	2	1.562	
2	8000	5	0	2	0.6587	
2	8000	10	0	2	0.62	
2	8000	15	0	2	0.82	
2	8000	20	0	2	0.6947	
2	8000	25	0	2	0.6826	
2	8000	30	0	1	0.6008	
2	8000	15	1	2	1.219	
2	8000	20	1	2	0.9498	
2	8000	25	1	2	0.8053	
2	8000	30	1	1	0.6114	
